text,label
how are you hello humidity I need help please temperature thanks study.,0
billing address charge payment fee receipt invoice account number transaction.,1
outstanding balance charge fee invoice.,1
please humidity temperature paper VPD mycelium study.,0
contamination I need help research hello thanks mycelium.,0
I need help thanks please grow how are you.,0
mycelium how are you grow.,0
fee credit card invoice transaction charge.,1
receipt payment charge.,1
wire transfer autopay fee bank transfer billing address.,1
humidity how are you hello temperature.,0
account number credit card payment outstanding balance.,1
receipt credit card transaction.,1
paper grow thanks study humidity please I need help how are you.,0
temperature thanks VPD humidity please paper sensor.,0
I need help temperature humidity VPD please grow.,0
please paper hello.,0
mycelium I need help how are you please contamination.,0
grow please temperature sensor mycelium humidity thanks I need help.,0
please humidity VPD research.,0
billing address fee receipt account number wire transfer.,1
please thanks VPD sensor how are you.,0
paper how are you thanks.,0
thanks research temperature mycelium contamination how are you humidity VPD.,0
sensor VPD I need help paper hello how are you humidity.,0
account number autopay bank transfer payment credit card.,1
thanks sensor hello humidity I need help VPD.,0
VPD how are you temperature I need help.,0
VPD contamination please thanks grow humidity study hello.,0
grow sensor hello how are you study I need help please.,0
outstanding balance fee payment.,1
humidity sensor how are you.,0
research thanks paper temperature sensor VPD study.,0
charge fee receipt outstanding balance wire transfer.,1
billing address outstanding balance wire transfer credit card receipt bank transfer transaction autopay.,1
payment outstanding balance account number wire transfer bank transfer invoice.,1
VPD please contamination paper hello how are you temperature.,0
how are you hello grow study.,0
outstanding balance credit card autopay transaction wire transfer charge due date.,1
study contamination paper sensor please humidity mycelium temperature.,0
how are you temperature mycelium.,0
mycelium study sensor humidity hello.,0
temperature study how are you hello mycelium grow research please.,0
outstanding balance charge transaction due date.,1
thanks I need help sensor please how are you research.,0
payment invoice autopay charge account number wire transfer outstanding balance.,1
mycelium sensor paper please.,0
study hello thanks mycelium paper humidity.,0
study research paper sensor I need help.,0
humidity study research VPD temperature sensor.,0
outstanding balance credit card wire transfer invoice.,1
billing address charge invoice bank transfer wire transfer fee transaction.,1
wire transfer charge due date invoice account number payment billing address.,1
fee payment autopay.,1
mycelium how are you contamination please.,0
fee invoice wire transfer payment receipt charge bank transfer.,1
please temperature humidity grow study.,0
mycelium thanks temperature research I need help.,0
grow research how are you hello sensor contamination.,0
how are you study VPD please research I need help thanks.,0
study how are you please grow I need help.,0
sensor paper VPD humidity.,0
fee account number autopay charge invoice.,1
paper VPD I need help temperature how are you thanks research humidity.,0
humidity VPD thanks.,0
I need help contamination please humidity grow.,0
temperature study I need help VPD.,0
credit card invoice payment autopay receipt wire transfer.,1
hello grow research.,0
autopay credit card due date transaction.,1
billing address receipt charge invoice payment fee due date.,1
hello paper grow contamination VPD thanks mycelium.,0
hello I need help grow study.,0
outstanding balance autopay wire transfer account number payment.,1
account number charge receipt fee due date.,1
wire transfer due date account number receipt.,1
due date billing address bank transfer.,1
research temperature humidity please I need help thanks.,0
how are you mycelium hello sensor please temperature humidity grow.,0
paper research please study hello.,0
outstanding balance receipt bank transfer credit card payment autopay billing address transaction.,1
receipt autopay charge bank transfer invoice payment credit card.,1
contamination I need help hello how are you.,0
mycelium grow humidity paper study contamination VPD.,0
mycelium contamination please.,0
hello humidity mycelium study VPD.,0
autopay billing address account number wire transfer outstanding balance bank transfer receipt.,1
autopay bank transfer fee.,1
autopay payment billing address credit card charge.,1
temperature mycelium grow paper I need help.,0
thanks please mycelium temperature research study I need help.,0
charge invoice credit card billing address outstanding balance receipt.,1
fee autopay bank transfer transaction account number wire transfer outstanding balance.,1
sensor research paper humidity thanks how are you I need help.,0
autopay wire transfer fee bank transfer payment outstanding balance credit card.,1
research please thanks hello.,0
please sensor contamination.,0
sensor mycelium temperature.,0
please humidity paper mycelium sensor research study.,0
temperature humidity hello how are you.,0
please thanks research humidity VPD sensor.,0
charge outstanding balance payment.,1
thanks research sensor temperature VPD humidity.,0
grow research sensor contamination VPD mycelium temperature.,0
due date billing address transaction account number credit card outstanding balance.,1
I need help research paper VPD sensor please study temperature.,0
humidity I need help please.,0
bank transfer wire transfer charge payment due date.,1
please mycelium humidity thanks.,0
please how are you mycelium research grow VPD sensor humidity.,0
please paper mycelium.,0
study research contamination humidity hello paper.,0
transaction invoice bank transfer credit card receipt fee.,1
billing address wire transfer charge fee outstanding balance transaction autopay.,1
receipt transaction invoice wire transfer bank transfer.,1
autopay account number receipt due date transaction wire transfer invoice outstanding balance.,1
fee autopay invoice payment receipt due date transaction.,1
hello I need help mycelium grow.,0
transaction bank transfer account number receipt.,1
research paper mycelium I need help how are you.,0
invoice billing address charge wire transfer bank transfer outstanding balance.,1
payment account number autopay invoice billing address outstanding balance charge receipt.,1
contamination thanks please.,0
sensor temperature how are you contamination.,0
sensor humidity I need help grow.,0
contamination study humidity research.,0
account number due date credit card.,1
fee invoice credit card.,1
temperature mycelium paper humidity please how are you study.,0
humidity research I need help.,0
contamination research how are you study hello grow VPD mycelium.,0
grow how are you VPD temperature study hello mycelium sensor.,0
mycelium grow temperature.,0
humidity thanks mycelium paper VPD I need help.,0
account number charge transaction billing address receipt credit card bank transfer.,1
paper how are you I need help sensor.,0
research sensor contamination study.,0
receipt bank transfer invoice transaction account number due date autopay payment.,1
research I need help grow paper contamination.,0
credit card charge invoice account number outstanding balance payment fee bank transfer.,1
transaction charge outstanding balance wire transfer autopay fee.,1
how are you I need help please.,0
humidity please I need help temperature contamination grow.,0
VPD study grow mycelium paper research.,0
humidity sensor I need help research study.,0
how are you humidity please grow.,0
billing address charge wire transfer.,1
please study humidity sensor.,0
humidity contamination research VPD paper.,0
how are you paper please I need help research.,0
due date credit card invoice charge wire transfer.,1
hello study VPD I need help thanks.,0
paper research sensor how are you hello contamination I need help study.,0
sensor grow thanks hello I need help study.,0
wire transfer payment receipt.,1
how are you contamination temperature research hello thanks.,0
account number fee credit card payment.,1
payment charge receipt fee.,1
research contamination please VPD mycelium sensor paper.,0
wire transfer fee receipt credit card account number.,1
hello contamination humidity how are you please temperature I need help.,0
payment due date outstanding balance account number charge wire transfer autopay invoice.,1
transaction billing address fee wire transfer credit card invoice.,1
I need help humidity study paper.,0
how are you temperature please I need help paper contamination.,0
account number outstanding balance receipt payment charge wire transfer due date transaction.,1
how are you hello thanks I need help.,0
humidity paper contamination I need help sensor how are you temperature.,0
I need help humidity mycelium study VPD temperature sensor contamination.,0
contamination hello mycelium.,0
bank transfer fee credit card invoice payment outstanding balance autopay receipt.,1
paper I need help contamination hello thanks sensor VPD research.,0
thanks contamination mycelium temperature sensor.,0
sensor grow mycelium.,0
bank transfer autopay payment due date wire transfer.,1
humidity sensor I need help temperature mycelium VPD.,0
transaction payment bank transfer.,1
grow how are you research mycelium VPD.,0
autopay charge transaction.,1
hello please VPD grow contamination sensor.,0
sensor research hello please I need help VPD thanks temperature.,0
study humidity sensor how are you hello contamination.,0
billing address due date credit card charge.,1
charge receipt payment.,1
paper how are you sensor study.,0
wire transfer due date transaction credit card charge autopay receipt billing address.,1
transaction outstanding balance wire transfer charge due date receipt.,1
study contamination VPD humidity.,0
paper how are you I need help mycelium.,0
study research VPD I need help hello.,0
humidity I need help contamination research temperature.,0
wire transfer due date transaction charge billing address bank transfer.,1
charge account number wire transfer receipt transaction.,1
wire transfer outstanding balance billing address account number fee.,1
please paper research mycelium hello grow.,0
sensor humidity research mycelium paper thanks study hello.,0
charge fee bank transfer payment.,1
payment charge transaction invoice due date receipt.,1
due date payment transaction credit card bank transfer receipt account number charge.,1
wire transfer autopay charge receipt bank transfer.,1
billing address account number transaction charge invoice payment outstanding balance bank transfer.,1
study I need help please humidity how are you mycelium temperature VPD.,0
thanks humidity I need help hello paper grow.,0
credit card bank transfer account number.,1
due date outstanding balance charge receipt fee wire transfer.,1
thanks how are you contamination mycelium.,0
temperature please sensor contamination thanks paper research.,0
credit card transaction wire transfer autopay invoice account number billing address bank transfer.,1
thanks how are you sensor grow contamination I need help mycelium.,0
I need help sensor study please mycelium paper how are you humidity.,0
contamination grow study I need help humidity hello.,0
receipt credit card invoice fee billing address transaction account number wire transfer.,1
fee account number bank transfer outstanding balance.,1
please contamination I need help temperature humidity thanks how are you hello.,0
account number transaction invoice fee bank transfer.,1
thanks how are you I need help grow mycelium study please contamination.,0
study grow VPD research I need help thanks temperature.,0
account number credit card billing address bank transfer payment transaction.,1
due date account number outstanding balance.,1
billing address autopay receipt charge bank transfer payment wire transfer invoice.,1
charge payment transaction bank transfer credit card.,1
mycelium paper temperature grow how are you please sensor.,0
contamination VPD grow.,0
please temperature how are you paper sensor I need help mycelium.,0
thanks hello paper.,0
sensor how are you paper please VPD.,0
receipt transaction bank transfer autopay.,1
humidity VPD mycelium contamination thanks research how are you sensor.,0
receipt credit card invoice bank transfer outstanding balance transaction charge.,1
wire transfer bank transfer payment autopay.,1
charge autopay bank transfer invoice receipt.,1
please how are you sensor paper temperature.,0
temperature study contamination hello.,0
research grow please.,0
research contamination please how are you.,0
outstanding balance fee wire transfer billing address bank transfer due date invoice.,1
paper thanks study VPD I need help.,0
how are you temperature hello thanks.,0
bank transfer account number outstanding balance.,1
grow hello thanks I need help paper research mycelium.,0
payment billing address wire transfer transaction autopay bank transfer account number.,1
charge outstanding balance fee invoice wire transfer credit card.,1
autopay invoice account number transaction receipt fee.,1
